Ep 0, Score 0
Saved: models//model_0.pth
Ep 1, Score 0
Ep 2, Score 0
Ep 3, Score 0
Ep 4, Score 1
Ep 5, Score 0
Ep 6, Score 0
Ep 7, Score 0
Ep 8, Score 0
Ep 9, Score 0
Ep 10, Score 0
Ep 11, Score 0
Ep 12, Score 0
Ep 13, Score 0
Ep 14, Score 1
Ep 15, Score 0
Ep 16, Score 3
Ep 17, Score 3
Ep 18, Score 3
Ep 19, Score 11
Ep 20, Score 0
Ep 21, Score 1
Ep 22, Score 8
Ep 23, Score 0
Ep 24, Score 12
Ep 25, Score 0
Ep 26, Score 18
Ep 27, Score 0
Ep 28, Score 41
Ep 29, Score 8
Ep 30, Score 6
Ep 31, Score 44
Ep 32, Score 51
Ep 33, Score 26
Ep 34, Score 35
Ep 35, Score 24
Ep 36, Score 25
Ep 37, Score 18
Ep 38, Score 40
Ep 39, Score 11
Ep 40, Score 20
Ep 41, Score 29
Ep 42, Score 32
Ep 43, Score 7
Ep 44, Score 24
Ep 45, Score 21
Ep 46, Score 33
Ep 47, Score 4
Ep 48, Score 13
Ep 49, Score 14
Ep 50, Score 23
Ep 51, Score 48
Ep 52, Score 32
Ep 53, Score 7
Ep 54, Score 7
Ep 55, Score 35
Ep 56, Score 13
Ep 57, Score 23
Ep 58, Score 35
Ep 59, Score 21
Ep 60, Score 23
Ep 61, Score 33
Ep 62, Score 24
Ep 63, Score 22
Ep 64, Score 12
Ep 65, Score 15
Ep 66, Score 38
Ep 67, Score 24
Ep 68, Score 47
Ep 69, Score 6
Ep 70, Score 20
Ep 71, Score 26
Ep 72, Score 21
Ep 73, Score 30
Ep 74, Score 2
Ep 75, Score 13
Ep 76, Score 19
Ep 77, Score 34
Ep 78, Score 18
Ep 79, Score 17
Ep 80, Score 29
Ep 81, Score 30
Ep 82, Score 12
Ep 83, Score 30
Ep 84, Score 42
Ep 85, Score 10
Ep 86, Score 27
Ep 87, Score 47
Ep 88, Score 29
Ep 89, Score 12
Ep 90, Score 46
Ep 91, Score 0
Ep 92, Score 28
Ep 93, Score 7
Ep 94, Score 46
Ep 95, Score 34
Ep 96, Score 7
Ep 97, Score 46
Ep 98, Score 43
Ep 99, Score 8
Ep 100, Score 15
Saved: models//model_100.pth
Ep 101, Score 43
Ep 102, Score 20
Ep 103, Score 12
Ep 104, Score 28
Ep 105, Score 21
Ep 106, Score 35
Ep 107, Score 17
Ep 108, Score 31
Ep 109, Score 24
Ep 110, Score 34
Ep 111, Score 4
Ep 112, Score 30
Ep 113, Score 42
Ep 114, Score 42
Ep 115, Score 37
Ep 116, Score 27
Ep 117, Score 35
Ep 118, Score 49
Ep 119, Score 43
Ep 120, Score 31
Ep 121, Score 12
Ep 122, Score 39
Ep 123, Score 25
Ep 124, Score 28
Ep 125, Score 22
Ep 126, Score 52
Ep 127, Score 11
Ep 128, Score 17
Ep 129, Score 6
Ep 130, Score 38
Ep 131, Score 32
Ep 132, Score 34
Ep 133, Score 18
Ep 134, Score 39
Ep 135, Score 11
Ep 136, Score 16
Ep 137, Score 38
Ep 138, Score 32
Ep 139, Score 0
Ep 140, Score 13
Ep 141, Score 24
Ep 142, Score 37
Ep 143, Score 44
Ep 144, Score 42
Ep 145, Score 31
Ep 146, Score 16
Ep 147, Score 13
Ep 148, Score 31
Ep 149, Score 23
Ep 150, Score 57
Ep 151, Score 19
Ep 152, Score 3
Ep 153, Score 29
Ep 154, Score 39
Ep 155, Score 53
Ep 156, Score 19
Ep 157, Score 26
Ep 158, Score 36
Ep 159, Score 30
Ep 160, Score 32
Ep 161, Score 44
Ep 162, Score 1
Ep 163, Score 13
Ep 164, Score 22
Ep 165, Score 31
Ep 166, Score 8
Ep 167, Score 34
Ep 168, Score 16
Ep 169, Score 11
Ep 170, Score 23
Ep 171, Score 49
Ep 172, Score 17
Ep 173, Score 44
Ep 174, Score 17
Ep 175, Score 12
Ep 176, Score 20
Ep 177, Score 39
Ep 178, Score 39
Ep 179, Score 25
Ep 180, Score 21
Ep 181, Score 1
Ep 182, Score 25
Ep 183, Score 14
Ep 184, Score 42
Ep 185, Score 20
Ep 186, Score 26
Ep 187, Score 33
Ep 188, Score 48
Ep 189, Score 44
Ep 190, Score 16
Ep 191, Score 23
Ep 192, Score 10
Ep 193, Score 19
Ep 194, Score 23
Ep 195, Score 30
Ep 196, Score 48
Ep 197, Score 19
Ep 198, Score 32
Ep 199, Score 21
Ep 200, Score 15
Saved: models//model_200.pth
Ep 201, Score 29
Ep 202, Score 5
Ep 203, Score 35
Ep 204, Score 34
Ep 205, Score 43
Ep 206, Score 27
Ep 207, Score 16
Ep 208, Score 39
Ep 209, Score 31
Ep 210, Score 39
Ep 211, Score 40
Ep 212, Score 39
Ep 213, Score 49
Ep 214, Score 11
Ep 215, Score 24
Ep 216, Score 35
Ep 217, Score 19
Ep 218, Score 23
Ep 219, Score 30
Ep 220, Score 27
Ep 221, Score 45
Ep 222, Score 10
Ep 223, Score 44
Ep 224, Score 9
Ep 225, Score 16
Ep 226, Score 40
Ep 227, Score 2
Ep 228, Score 38
Ep 229, Score 17
Ep 230, Score 27
Ep 231, Score 2
Ep 232, Score 52
Ep 233, Score 23
Ep 234, Score 36
Ep 235, Score 17
Ep 236, Score 36
Ep 237, Score 34
Ep 238, Score 37
Ep 239, Score 22
Ep 240, Score 25
Ep 241, Score 10
Ep 242, Score 25
Ep 243, Score 34
Ep 244, Score 33
Ep 245, Score 34
Ep 246, Score 4
Ep 247, Score 20
Ep 248, Score 30
Ep 249, Score 28
Ep 250, Score 32
Ep 251, Score 29
Ep 252, Score 27
Ep 253, Score 55
Ep 254, Score 15
Ep 255, Score 35
Ep 256, Score 20
Ep 257, Score 8
Ep 258, Score 33
Ep 259, Score 34
Ep 260, Score 18
Ep 261, Score 30
Ep 262, Score 36
Ep 263, Score 15
Ep 264, Score 27
Ep 265, Score 27
Ep 266, Score 12
Ep 267, Score 30
Ep 268, Score 8
Ep 269, Score 30
Ep 270, Score 26
Ep 271, Score 6
Ep 272, Score 29
Ep 273, Score 29
Ep 274, Score 40
Ep 275, Score 21
Ep 276, Score 30
Ep 277, Score 33
Ep 278, Score 18
Ep 279, Score 34
Ep 280, Score 16
Ep 281, Score 11
Ep 282, Score 33
Ep 283, Score 9
Ep 284, Score 36
Ep 285, Score 40
Ep 286, Score 35
Ep 287, Score 47
Ep 288, Score 37
Ep 289, Score 43
Ep 290, Score 12
Ep 291, Score 41
Ep 292, Score 29
Ep 293, Score 44
Ep 294, Score 11
Ep 295, Score 17
Ep 296, Score 27
Ep 297, Score 20
Ep 298, Score 40
Ep 299, Score 39
Ep 300, Score 3
Saved: models//model_300.pth
Ep 301, Score 13
Ep 302, Score 34
Ep 303, Score 29
Ep 304, Score 24
Ep 305, Score 15
Ep 306, Score 41
Ep 307, Score 4
Ep 308, Score 19
Ep 309, Score 27
Ep 310, Score 40
Ep 311, Score 33
Ep 312, Score 25
Ep 313, Score 27
Ep 314, Score 37
Ep 315, Score 47
Ep 316, Score 40
Ep 317, Score 43
Ep 318, Score 16
Ep 319, Score 24
Ep 320, Score 15
Ep 321, Score 23
Ep 322, Score 32
Ep 323, Score 36
Ep 324, Score 20
Ep 325, Score 29
Ep 326, Score 16
Ep 327, Score 29
Ep 328, Score 28
Ep 329, Score 32
Ep 330, Score 22
Ep 331, Score 43
Ep 332, Score 43
Ep 333, Score 38
Ep 334, Score 25
Ep 335, Score 3
Ep 336, Score 9
Ep 337, Score 28
Ep 338, Score 41
Ep 339, Score 37
Ep 340, Score 13
Ep 341, Score 14
Ep 342, Score 42
Ep 343, Score 35
Ep 344, Score 32
Ep 345, Score 1
Ep 346, Score 42
Ep 347, Score 51
Ep 348, Score 30
Ep 349, Score 39
Ep 350, Score 24
Ep 351, Score 44
Ep 352, Score 2
Ep 353, Score 26
Ep 354, Score 1
Ep 355, Score 9
Ep 356, Score 41
Ep 357, Score 24
Ep 358, Score 24
Ep 359, Score 21
Ep 360, Score 3
Ep 361, Score 31
Ep 362, Score 27
Ep 363, Score 31
Ep 364, Score 30
Ep 365, Score 3
Ep 366, Score 30
Ep 367, Score 21
Ep 368, Score 38
Ep 369, Score 38
Ep 370, Score 29
Ep 371, Score 19
Ep 372, Score 35
Ep 373, Score 14
Ep 374, Score 39
Ep 375, Score 40
Ep 376, Score 37
Ep 377, Score 42
Ep 378, Score 16
Ep 379, Score 6
Ep 380, Score 30
Ep 381, Score 35
Ep 382, Score 6
Ep 383, Score 20
Ep 384, Score 17
Ep 385, Score 26
Ep 386, Score 47
Ep 387, Score 11
Ep 388, Score 13
Ep 389, Score 5
Ep 390, Score 33
Ep 391, Score 19
Ep 392, Score 21
Ep 393, Score 26
Ep 394, Score 17
Ep 395, Score 26
Ep 396, Score 31
Ep 397, Score 45
Ep 398, Score 18
Ep 399, Score 30
Ep 400, Score 40
Saved: models//model_400.pth
Ep 401, Score 19
Ep 402, Score 7
Ep 403, Score 27
Ep 404, Score 35
Ep 405, Score 34
Ep 406, Score 27
Ep 407, Score 29
Ep 408, Score 25
Ep 409, Score 37
Ep 410, Score 23
Ep 411, Score 27
Ep 412, Score 21
Ep 413, Score 22
Ep 414, Score 25
Ep 415, Score 5
Ep 416, Score 40
Ep 417, Score 27
Ep 418, Score 33
Ep 419, Score 26
Ep 420, Score 25
Ep 421, Score 9
Ep 422, Score 37
Ep 423, Score 20
Ep 424, Score 28
Ep 425, Score 25
Ep 426, Score 19
Ep 427, Score 36
Ep 428, Score 19
Ep 429, Score 33
Ep 430, Score 35
Ep 431, Score 32
Ep 432, Score 31
Ep 433, Score 30
Ep 434, Score 30
Ep 435, Score 17
Ep 436, Score 17
Ep 437, Score 6
Ep 438, Score 29
Ep 439, Score 2
Ep 440, Score 28
Ep 441, Score 45
Ep 442, Score 43
Ep 443, Score 40
Ep 444, Score 15
Ep 445, Score 33
